Time,Demand
0,326.71794062001527
1,142.80469337554473
2,170.20740519624854
3,70.40854889043865
4,345.59562904985467
5,213.40138742947468
6,349.7962364430689
7,21.955196547766064
8,287.1373184491872
9,291.2465844103581
10,378.36113586999875
11,66.42140040885891
12,183.80251914978166
13,172.29185385964507
14,306.9185020051426
15,458.3664910771546
16,174.9018774123271
17,201.94542499778908
18,186.6106329242237
19,156.37508878473477
20,156.27136525996582
21,226.0223366037249
22,89.37866650803383
23,359.20320771954874
24,275.3214840537356
25,82.39660694196809
26,73.3052758545146
27,263.2892163935798
28,249.1109112671274
29,317.79754311663766
30,401.1914787845241
31,386.4328739255266
32,482.25337954149643
33,145.786790197814
34,172.24298443990946
35,174.1917392087417
36,210.03489623743206
37,492.4478141213135
38,444.8128087908983
39,487.0106594819744
40,246.27688266374557
41,233.37473894883294
42,378.7697032872723
43,507.34305789597727
44,407.1098333674602
45,306.4069409708635
46,436.3829557213405
47,133.690086784345
48,200.63272954063086
49,94.20408932183801
50,138.3633643367129
51,349.69513488024336
52,436.0652373478778
53,117.38321832336686
54,102.54541137772264
55,396.4457274036712
56,528.7617858321339
57,480.4872595226215
58,445.5668241130784
59,218.01683120761766
60,147.27621251028785
61,167.94519348920542
62,283.8718956105483
63,101.01479322348683
64,308.5500435440306
65,405.0625602777151
66,388.1087770954487
67,455.76429119648117
68,318.0262186842018
69,240.7778151062552
70,392.11331022698266
71,318.1523642812415
72,268.4492332970967
73,529.3031741169445
74,313.75839439301774
75,456.2904008957759
76,308.80047711498696
77,217.37023889706353
78,415.43355176530497
79,437.4316732851802
80,355.47808677758553
81,286.919746979073
82,340.22760570724813
83,263.95420038551435
84,495.08578146244855
85,538.6257568403626
86,335.8542956434882
87,393.5465901903952
88,375.56049212001767
89,174.19385714200064
90,167.47753941789972
91,343.3530995841917
92,354.41265405286686
93,166.61531140577335
94,537.9605672966427
95,349.0023772044407
96,112.40495804392509
97,349.9801328231107
98,307.9586756550299
99,399.8710351595475
100,404.6926873811787
101,298.9124975362943
102,134.54686552311895
103,227.99815018352768
104,526.9239189488854
105,401.0274932998101
106,201.2228520079853
107,533.0371355177506
108,285.19156734704586
109,132.40424984060016
110,184.08644659373232
111,106.08948505860857
112,493.66054297587254
113,263.51402311730874
114,121.93738376457875
115,400.186784559129
116,233.70849550059876
117,406.1417895330895
118,384.2883518754151
119,301.5765108534912
120,309.06409063801703
121,300.36037131885143
122,181.97035038006982
123,335.0860167097033
124,512.0422974854098
125,221.74586653459795
126,337.34968571743366
127,495.1930697109716
128,188.65916830479972
129,138.10523989597232
130,381.50569620016364
131,466.13379987356683
132,445.0464987080931
133,157.52802079054035
134,406.6249072460518
135,96.55043254700323
136,324.62147499146454
137,402.93335078835025
138,420.2131741302003
139,284.123030358253
140,187.3350418874517
141,116.83180802992263
142,102.41885557318307
143,255.6208495598276
144,188.21683056654632
145,256.98339483310605
146,436.9534143172171
147,130.97975696916552
148,196.70176128671443
149,273.090475266241
150,204.239492205239
151,157.99377791056443
152,460.9518148579604
153,394.0440358046231
154,390.39690186148806
155,133.07259619822514
156,117.72099972835139
157,136.3746391101047
158,266.57500131472887
159,408.9353433732968
160,399.13729633081516
161,294.5058545719908
162,185.17081757075343
163,237.55491595476397
164,289.2502217352663
165,241.64729073011327
166,31.029378555717813
167,245.9625997670857
168,445.48419523996665
169,45.81926547741426
170,202.75725992851838
171,446.22302646671363
172,263.68520848492244
173,419.8407270293776
174,394.90655076104485
175,141.0956728382736
176,239.28142212219626
177,92.62663168010084
178,218.8993586968683
179,358.6156310123516
180,416.8529635096337
181,373.13190250659625
182,347.6812157035123
183,117.91605498576601
184,152.33892675909013
185,96.7212822161216
186,284.80977429458915
187,404.0052240685774
188,207.30006024999253
189,406.3834269975989
190,51.609525251524985
191,299.91178786998785
192,244.20395780834974
193,351.3511758117086
194,-9.551405594600595
195,91.35642469708644
196,268.8441039270138
197,236.90031937455922
198,271.2159831585768
199,245.3202636568801
200,321.3556827667146
201,57.749502364014006
202,347.380237297464
203,306.92694272058577
204,273.81739598234117
205,237.83413703132504
206,357.3974336533814
207,342.3359051565932
208,56.57046980525067
209,285.2689074116869
210,225.91319844591828
211,-41.852854157771986
212,328.1388392875096
213,114.25035881131757
214,-38.869320697341095
215,165.21517244635305
216,-71.69716989938709
217,11.192900490887752
218,280.30369666025956
219,268.25271253155773
220,146.90104148894684
221,-16.902755538149165
222,-44.667736520048436
